t_index,path_0,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8,path_9,path_10,path_11,path_12,path_13,path_14,path_15,path_16,path_17,path_18,path_19,path_20,path_21,path_22,path_23,path_24,path_25,path_26,path_27,path_28,path_29,path_30,path_31,path_32,path_33,path_34,path_35,path_36,path_37,path_38,path_39,path_40,path_41,path_42,path_43,path_44,path_45,path_46,path_47,path_48,path_49,path_50,path_51,path_52,path_53,path_54,path_55,path_56,path_57,path_58,path_59,path_60,path_61,path_62,path_63,path_64,path_65,path_66,path_67,path_68,path_69,path_70,path_71,path_72,path_73,path_74,path_75,path_76,path_77,path_78,path_79,path_80,path_81,path_82,path_83,path_84,path_85,path_86,path_87,path_88,path_89,path_90,path_91,path_92,path_93,path_94,path_95,path_96,path_97,path_98,path_99
0,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
1,100.834608,100.419955,104.227778,99.324253,101.443425,98.827816,101.383322,99.791928,100.712504,99.544166,98.419356,100.281369,99.239876,98.016031,98.866765,98.225639,99.231206,100.821125,101.902328,98.434018,101.006059,102.070998,103.700968,101.893503,98.108643,99.646768,100.225745,99.104800,97.634506,100.784574,99.975621,100.461714,100.242376,99.297653,99.094664,99.034021,97.812310,96.955900,102.858306,98.459605,101.687041,97.327670,99.646161,99.353035,97.685804,101.254012,96.706722,100.082996,99.387419,100.147963,101.749112,96.711551,101.668785,98.757117,99.961509,102.670116,102.335576,101.280644,101.264270,99.917589,99.405484,100.003953,98.211270,98.857584,97.118802,100.199772,100.633093,100.195159,100.436569,99.736794,101.871526,100.166268,95.210888,101.541534,100.296572,98.847774,100.187194,100.323770,100.310782,102.709966,100.119823,99.229822,99.795485,98.101054,100.508263,99.320036,101.018264,100.044736,100.553646,100.842794,100.323824,97.194224,98.459281,100.165300,98.796246,98.736979,98.759115,100.623225,101.000297,101.473991
2,99.899534,101.867323,105.132439,98.260194,103.270324,97.681912,102.410553,101.530111,102.085653,100.260064,98.616097,100.359942,100.564506,95.564038,99.626700,96.851275,99.017063,98.819319,100.000961,99.524727,103.942495,98.783603,99.105740,102.121827,96.868597,97.883775,99.665544,100.138767,99.874032,100.247004,100.757058,98.751996,102.306909,100.168050,98.451803,101.469342,96.024422,95.230754,105.396258,98.567161,103.092144,94.672553,102.286044,102.372305,97.363134,99.045769,95.671031,102.004253,102.118132,101.745606,101.276615,99.240117,99.984325,98.505751,99.939985,103.595680,103.688738,100.765082,104.152566,100.404435,101.391051,99.946739,97.135317,98.527592,98.178457,101.959966,99.975059,100.822959,98.525104,101.210970,100.721828,102.513969,96.469086,101.846974,100.209827,97.871762,101.701922,99.232591,102.502360,103.832678,99.813736,99.121759,102.462494,97.431326,98.794336,100.969535,102.103066,101.343982,103.293654,99.936002,101.375012,98.071669,95.318511,101.054790,96.500647,101.883319,97.975900,101.656593,103.837728,103.909672
3,100.445407,100.194726,105.512142,99.416763,104.856602,96.422647,101.758306,99.848501,99.816916,100.361251,97.480384,100.609049,99.341946,97.509915,98.579475,94.663258,99.185311,98.973840,100.798870,98.177693,106.292819,98.137034,100.145798,103.589539,95.819928,99.576613,98.140971,100.346534,99.670023,99.504045,99.944713,98.547699,103.297773,99.086007,98.013452,101.181798,93.129452,93.647102,106.333856,98.739165,102.295631,93.273221,103.218879,101.967305,98.873742,98.029384,97.528882,100.914839,100.148046,98.968870,101.896693,99.260460,100.863441,98.288935,100.335503,102.390872,103.571436,100.153446,104.589723,100.318671,101.963940,98.568780,97.477495,102.077153,100.370210,101.346010,99.702480,102.025617,98.916669,101.872774,99.328746,101.721615,93.436825,101.258768,97.875153,98.501871,101.238565,96.604098,102.572087,105.227188,98.693521,98.797171,102.407022,98.602020,100.835127,101.290182,101.708003,100.825089,102.856228,102.175868,100.760258,97.397751,96.063662,100.808411,96.550942,103.361842,98.221113,99.922369,103.977978,103.103072
4,101.733973,98.753471,103.622831,100.690411,104.294157,96.421711,102.506561,100.837723,100.119851,100.183110,100.068684,98.948029,98.867317,96.644950,100.066922,94.081412,100.667713,99.638449,101.471445,99.877953,105.976684,95.774581,101.109623,101.198035,97.762401,100.239184,97.632277,99.115432,98.534784,99.828147,99.064720,99.132373,105.914810,100.235762,95.989125,101.947415,92.439391,94.869183,105.728360,97.876284,101.766967,93.916298,102.283505,99.626369,100.276775,98.384247,97.625195,102.584002,100.043187,102.140821,103.611640,101.902811,100.980022,99.664995,103.210406,101.329051,104.968291,98.710080,103.404701,99.915400,100.737399,96.325830,94.875850,101.709261,104.820738,101.914446,99.135991,100.962288,98.689562,104.095758,100.022041,102.959379,93.966184,102.422872,96.321960,102.009640,99.871741,96.938178,102.140971,104.312085,99.214423,97.327229,103.240554,99.545396,100.322868,100.199978,105.743775,100.586014,102.194390,100.454283,100.606596,98.812090,96.518879,100.510615,97.156535,101.767931,98.719986,102.084706,104.691283,103.454402
5,102.178114,98.194788,103.455758,101.394876,103.112040,97.211038,101.369181,100.174141,99.595476,102.539237,99.624620,97.690338,98.700270,99.906710,98.516942,95.248521,101.112704,100.545124,102.464856,99.571221,105.998980,96.755115,99.137501,100.593340,93.598298,97.496574,99.907933,100.401662,97.817107,102.225363,98.073511,100.390753,105.625299,100.478598,95.902478,101.467502,92.424670,98.152264,108.204189,97.691078,104.190585,93.518881,102.944626,103.637244,98.296179,98.701844,96.161495,103.434131,97.889365,102.250376,105.631276,99.749303,100.977087,100.146590,102.568841,103.013924,105.477469,97.423196,104.385654,98.904488,101.760346,96.371930,94.072727,101.312168,105.952760,100.771211,98.152099,99.988767,99.308848,101.934347,101.272961,104.642585,95.834209,104.148830,95.989328,102.101975,101.022031,96.950125,102.113936,104.602029,97.984374,95.218224,104.365999,98.919024,101.562795,101.732329,106.090961,101.345102,102.184002,99.020397,100.174609,100.663610,96.595709,100.467628,98.180192,101.319590,98.407897,98.924641,103.618271,103.989581
6,100.282697,98.263777,102.501655,102.587881,106.138575,98.714217,99.138534,100.241571,99.010107,103.490301,99.523720,97.480873,100.646971,101.662149,97.333235,96.109061,103.114025,98.194858,102.203619,100.424951,106.552086,96.728079,98.962905,97.636152,92.697399,98.122236,99.051063,97.340392,97.939111,101.417689,99.974753,99.479528,104.594226,98.946635,95.904724,101.003631,91.937885,95.173748,108.279261,97.825936,103.330075,93.657725,103.641941,103.558592,97.509871,99.578957,94.376462,105.197975,100.106462,103.553668,106.948155,98.474144,101.114584,99.290393,102.664355,101.426773,106.475732,95.851453,103.782311,100.885583,99.385158,94.604576,94.326877,103.089545,105.008266,100.162335,95.810426,99.206667,99.020179,101.516936,100.021869,106.551424,98.784732,104.493334,96.090254,101.137319,102.415468,95.204793,100.541842,104.805401,99.153384,96.539111,104.640616,97.861535,100.100466,101.229251,106.438820,100.693902,100.966345,98.799403,101.702976,99.662847,96.423179,98.672190,96.020265,101.103212,98.427011,99.890939,103.022684,103.224326
7,101.436497,99.552518,103.919622,102.695613,105.373166,99.222284,96.623811,103.105758,97.686058,104.126934,99.536162,97.905303,99.912968,104.366233,98.453854,96.576936,101.497953,98.248332,103.537229,98.254605,107.823504,97.018525,99.038117,97.422044,91.097979,98.140031,98.488726,95.403109,98.183594,101.966974,101.057692,99.493227,104.736416,99.180601,99.554276,102.090146,92.168132,95.870718,108.043209,97.596879,101.712540,93.545364,101.348676,104.385627,97.626727,102.047418,96.280500,100.978837,99.051270,102.136214,104.955596,99.706748,100.450969,98.505983,103.628549,103.416400,104.642369,94.629702,101.835467,98.888839,101.663755,95.745301,93.749669,103.798060,105.183413,98.530155,97.048548,98.447135,99.739545,102.766500,100.946731,108.794551,98.208456,103.678559,93.809515,102.013443,103.051971,92.569408,101.604073,108.020572,101.775933,98.833803,103.395900,101.410334,99.896446,101.399703,104.400081,101.829368,100.093907,96.182387,104.672057,99.346646,97.473710,99.114420,96.814241,102.187531,100.584851,102.160513,102.341700,101.797308
8,101.050802,100.201610,102.976372,101.304932,106.182855,100.552128,95.910598,103.345273,98.630031,103.825723,98.720499,98.183704,100.002364,104.059575,98.543526,97.515055,102.347882,99.482251,105.896681,96.353064,104.150772,97.185323,101.444963,98.855444,90.208859,99.522999,98.915981,92.301231,97.155317,102.278486,102.430521,99.236253,105.718918,100.308614,100.087143,100.327084,90.212701,93.020719,106.924514,98.589138,101.399926,96.846084,100.862906,106.627009,95.961681,104.622561,95.501960,99.258134,98.852909,103.489519,104.598341,98.546872,101.435798,97.317049,104.788935,101.440176,105.082742,93.795307,102.361125,96.435185,101.093098,95.753913,93.389048,98.572857,105.910982,98.893793,94.434201,99.192124,99.029460,101.821507,100.841188,108.308111,96.743830,103.761440,92.331725,100.418917,103.487446,91.722169,103.901488,105.166671,101.090971,99.308426,102.833844,100.445043,98.238870,100.350271,107.463433,103.795485,99.647089,95.634800,103.574342,97.937759,97.395518,100.503155,96.205558,102.360239,101.296575,104.578297,102.608790,103.947673
9,100.824550,102.310431,105.345983,99.250982,108.333772,97.645075,94.803469,104.063241,98.552782,104.877660,96.075689,97.160506,99.756590,105.048474,97.512776,97.418350,101.664975,99.783135,105.300799,97.943128,104.324551,99.245003,103.096399,98.042470,90.128568,100.007458,98.714562,92.324731,99.597186,101.053591,101.382613,98.558533,102.774523,100.270876,101.150069,99.973584,91.643974,93.305252,105.890437,101.131233,100.511543,98.438153,102.554325,109.076501,95.593931,104.846613,95.161953,101.932485,99.874103,103.662422,102.265569,98.379067,101.658837,97.594248,100.685126,99.316716,106.137914,93.521627,103.328439,96.302732,103.316947,96.531967,92.781265,96.637766,105.975112,98.575259,94.472559,98.488395,97.500856,103.079799,98.490229,106.989620,97.743042,102.524418,92.295666,103.168601,101.968943,92.033127,103.419340,105.756288,99.907517,97.708047,102.310396,101.353201,98.682907,100.363501,109.101403,104.206431,98.724863,94.339461,104.421405,97.310042,95.979248,102.704817,94.214651,103.757160,103.207510,105.867311,102.201565,102.126121
