path_index,HE_T
0,0.234996
1,-0.607964
2,0.409966
3,-1.045783
4,-0.521645
5,0.281401
6,-0.914502
7,1.004594
8,0.202562
9,0.220591
10,0.325285
11,0.075992
12,-0.337747
13,-0.384976
14,-0.257915
15,-0.976339
16,-0.028375
17,-0.080623
18,-0.806623
19,0.079775
20,-0.253047
21,-0.011438
22,0.258092
23,0.491287
24,-0.519992
25,-0.295703
26,0.119281
27,-0.307075
28,0.405834
29,-0.021329
30,-0.373805
31,0.509225
32,-0.017005
33,-0.261253
34,0.078084
35,0.120590
36,-0.271231
37,-0.483169
38,0.020843
39,0.009869
40,-0.429382
41,-0.508436
42,0.005938
43,-0.042842
44,0.201495
45,-0.321817
46,-0.248392
47,-0.501566
48,-1.291480
49,0.082346
50,0.231305
51,0.255242
52,0.833895
53,0.404901
54,1.048094
55,0.088710
56,0.611985
57,0.909995
58,1.089498
59,-0.110581
60,-1.062574
61,0.345480
62,0.416961
63,-0.365367
64,0.291195
65,-0.768844
66,-0.053598
67,0.152313
68,1.000293
69,-0.106649
70,-0.116741
71,0.330383
72,-0.723182
73,-0.416240
74,-0.062013
75,-0.324527
76,0.311164
77,0.040619
78,0.080392
79,0.431138
80,0.033233
81,0.200993
82,0.219485
83,0.504794
84,0.155403
85,0.078380
86,-1.496605
87,-0.092627
88,0.225015
89,-0.173469
90,0.011677
91,0.260120
92,0.672669
93,-0.584796
94,0.044805
95,0.205159
96,-0.123395
97,0.135371
98,-0.587103
99,0.122111
100,-0.049085
101,0.006063
102,0.867965
103,-0.397958
104,-0.111207
105,0.309766
106,0.195607
107,0.296406
108,-0.093740
109,0.187817
110,0.048062
111,0.002487
112,-0.205676
113,0.368253
114,-0.215703
115,0.484746
116,-0.038839
117,0.625134
118,0.389624
119,-0.411176
120,-0.763271
121,0.826442
122,0.549407
123,0.675901
124,1.958767
125,-2.563939
126,0.430062
127,0.680070
128,-1.098379
129,-0.032354
130,-0.447821
131,0.093195
132,-0.486006
133,0.043449
134,-0.143546
135,0.366661
136,0.325025
137,0.110167
138,-0.507355
139,0.185719
140,0.276434
141,-2.035163
142,-0.104244
143,-0.222987
144,0.041789
145,-0.065334
146,0.029212
147,0.274151
148,-0.242461
149,-0.114518
